,Startup name,Active (opinion by CMs),Last edited by,Location,HQ,Founded date,Industry (Vertical),Horizontal,Operating status,Funding status,Employees,Founder 1,Founder 2,Founder 3,Founder 4,Founder 5,Unnamed: 16,Website,Social media URLs,Email,Phone,Funding round 1 (Investment),Founder round 1 investors,Funding round 1 date,Funding round 2 (Investment),Founder round 2 investors,Funding round 2 date,Funding round 3 (Investment),Founder round 3 investors,Funding round 3 date,Funding round 4 (Investment),Founder round 4 investors,Funding round 4 date,Funding round 5 (Investment),Founder round 5 investors,Funding round 5 date
0,ProPakistani,Y,-,Islamabad,Asia-Pacific,2008-05-05 00:00:00,"Digital Media, Information Technology",-,Active,Early Stage Venture,1 to10,Aamir Attaa,-,-,-,-,,https://propakistani.pk/,"https://twitter.com/ProPakistaniPK,https://www.facebook.com/ProPakistani",aamir@propakistani.com,-,Undisclosed,"Eikon 7,The Interactive Group,Umayr Abbasi, Usman Yousuf",2019-07-26 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
1,DealSmash,,-,Islamabad,Asia-Pacific,2016-04-15 00:00:00,"Retail, Artificial Intelligence","Analytics, ,Artificial Intelligence",Active,Seed,1 to 10,Ahsan Vaqar Hundal,Ali Hasnain,Hamza Iftikhar,-,-,,http://www.dealsmash.co/,"https://www.linkedin.com/company/dealsmash,https://www.facebook.com/dealsmash,https://www.twitter.com/dealsmash15",info@dealsmash.co,#ERROR!,PKR 8.8M,National ICT R&D Fund,2017-05-15 00:00:00,150000,Al-Hilal Securties Advisors,2018-02-27 00:00:00,-,-,-,-,-,-,-,-,-
2,Souchaj Couture Company,,-,Lahore,Asia-Pacific,2017,Fashion,,Active,Seed,11 to 50,-,-,-,-,-,,https://www.souchaj.com/,https://www.facebook.com/thesouchaj/,info@souchaj.com,-,Undisclosed,Walled City Co,2017-07-02 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
3,Finja,Y,,Lahore,Asia-Pacific,2015,"Financial Exchanges, Financial Services","Mobile Payments, Software",Active,Early Stage Venture,101 to 250,Monis Rehman,Qasif Shahid,Umer Munawar,-,-,,http://www.finja.pk/,"https://www.linkedin.com/company/13194505?trk=prof-exp-company-name,https://www.facebook.com/finja.pk/,https://twitter.com/FinjaPvt",info@finja.pk,4238103330,$1M,Vostok Emerging Finance,2016-08-02 00:00:00,$1.5M,"Gray Mackenzie Engineering Services, Vostok Emerging Finance",2017-10-18 00:00:00,$3M,"BEENEXT, Quona Capital, Vostok Emerging Finance",2019-11-11 00:00:00,-,-,-,-,-,-
4,Peekaboo Guru,Y,-,Karachi,Asia-Pacific,2016-05-23 00:00:00,Location Based Services,Lifestyle,Active,Seed,1 to 10,Mehdi Hassan Haryani,-,-,-,-,,https://peekaboo.guru/,"https://www.linkedin.com/showcase/peekaboo-guru, https://facebook.com/peekabooguru, https://twitter.com/peekabooguru",contact@peekaboo.guru,923332196539,$50K,Oman Technology Fund,2018-01-01 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
5,DOSAFAR,,-,Karachi,Asia-Pacific,2016-03-10 00:00:00,"Fleet Management, Logistics, Transportation",-,Active,Seed,11 to 50,-,-,-,-,-,,http://dosafar.com/,"https://www.linkedin.com/in/do-safar-383431119/,https://www.facebook.com/dosafar/,https://twitter.com/dosafar2016?lang=en",hello@dosafar.com,96894025419,$65K,Tricap Investments,2016-03-10 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
6,VisioTech Solutions,,-,Islamabad,Asia-Pacific,2012-10-18 00:00:00,"Financial Services, Management Consulting",-,Active,Seed,11 to 50,Adeel Javaid,Faisal Yasin,-,-,-,,https://visiotechsolution.com/,https://pk.linkedin.com/company/visiotech-solutions-pvt-ltd-,info@visiotechsolution.com,-,$250K,Microsoft for Startups,2016-01-18 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
7,InteraCta,,-,Lahore,Asia-Pacific,2014-06-01 00:00:00,"Apps, Information Technology",Real Estate,Active,Seed,11 to 50,Muhammad Maaz Kamal,-,-,-,-,,http://interacta.co/,"https://www.linkedin.com/company/interacta-ltd, https://www.facebook.com/Interactatechnologies/timeline?ref=page_internal, https://twitter.com/InteraCta_tech",maaz.kamal@interacta.co,923344283817,$220K,Fatima Ventures,2015-05-26 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
8,Fori Mazdoori,,-,Islamabad,Asia-Pacific,-,Employment,-,Active,Seed,-,-,-,-,-,-,,http://forimazdoori.com/beta,"https://www.twitter.com/forimazdoori, https://www.facebook.com/ForiMazdoori",-,#ERROR!,Undisclosed,PeaceTech Accelerator,2018-10-05 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
9,Tier3 Pakistan,,-,Islamabad,Asia-Pacific,2011-01-10 00:00:00,"Cyber Security, Information Technology, Security",Information Services,Active,Seed,1 to 10,Suhail Tirmizi,-,-,-,-,,https://www.tier3.pk/,"https://www.linkedin.com/company/tier3-pakistan, https://www.facebook.com/tier3pakistan, https://www.twitter.com/tier3pk",info@tier3.pk,923361006572,Undisclosed,"Lawrence Kenneth Griffin, Suhail Tirmizi",2016-05-08 00:00:00,$10K,Suhail Tirmizi,2017-01-04 00:00:00,-,-,-,-,-,-,-,-,-
